wrd,aFr,log,logmmn
second,41367,4.616654026,0.319284351
support,39874,4.600689805,0.321638241
support,39874,4.600689805,0.321638241
support,39874,4.600689805,0.321638241
far,39585,4.597530649,0.322104052
month,39251,4.593850726,0.322646648
level,39198,4.593263909,0.322733173
level,39198,4.593263909,0.322733173
every,39149,4.592720673,0.322813272
power,38891,4.58984911,0.323236678
power,38891,4.58984911,0.323236678
important,38716,4.587890481,0.323525474
public,38626,4.586879736,0.323674506
General,38612,4.586722298,0.32369772
lead,38395,4.584274672,0.324058617
lead,38395,4.584274672,0.324058617
act,38378,4.584082339,0.324086976
act,38378,4.584082339,0.324086976
national,38079,4.580685535,0.324587827
interest,37967,4.579406282,0.32477645
development,37089,4.569245124,0.326274691
further,35989,4.556169779,0.328202622
offer,35974,4.55598873,0.328229318
force,35770,4.55351894,0.328593483
include,35139,4.545789398,0.329733187
view,35032,4.544464932,0.329928477
Council,34699,4.540316959,0.330540087
Court,34652,4.539728306,0.330626882
court,34652,4.539728306,0.330626882
court,34652,4.539728306,0.330626882
issue,34580,4.538824989,0.330760074
issue,34580,4.538824989,0.330760074
large,34269,4.534901432,0.331338594
Mr.,33903,4.53023813,0.332026188
possible,33676,4.527320501,0.332456386
believe,33674,4.527294708,0.332460189
Allow,33582,4.526106557,0.33263538
already,33302,4.522470316,0.333171535
return,32961,4.518000379,0.333830618
subject,32043,4.50573317,0.335639391
idea,31964,4.504661122,0.335797463
body,31446,4.49756541,0.33684371
law,31401,4.496943479,0.336935412
law,31401,4.496943479,0.336935412
happen,31245,4.494780529,0.337254335
enough,31178,4.493848253,0.337391797
authority,31114,4.492955847,0.33752338
authority,31114,4.492955847,0.33752338
matter,31077,4.492439088,0.337599575
carry,30578,4.485409076,0.338636135
carry,30578,4.485409076,0.338636135
mind,30521,4.484598759,0.338755615
almost,30392,4.482759281,0.339026842
political,30113,4.478754024,0.339617408
cause,30057,4.477945631,0.339736604
cause,30057,4.477945631,0.339736604
reason,29332,4.467341676,0.341300134
war,29142,4.464519354,0.341716279
Office,29087,4.463698931,0.341837249
Experience,28802,4.459422646,0.342467778
particular,28801,4.459407567,0.342470001
consider,28518,4.455119065,0.343102332
consider,28518,4.455119065,0.343102332
consider,28518,4.455119065,0.343102332
consider,28518,4.455119065,0.343102332
clear,28344,4.452461139,0.343494237
full,28250,4.451018452,0.343706958
suggest,28248,4.450987705,0.343711492
deal,28127,4.449123413,0.343986378
society,27784,4.44379477,0.344772074
base,27772,4.443607157,0.344799738
continue,27732,4.442981192,0.344892035
share,27337,4.436750853,0.345810685
towards,27272,4.435716988,0.345963126
care,27257,4.435478054,0.345998356
community,27023,4.431733561,0.346550474
individual,26885,4.429510041,0.346878327
value,26720,4.426836454,0.347272542
action,26668,4.425990446,0.347397283
action,26668,4.425990446,0.347397283
remain,26335,4.420533323,0.348201925
main,25857,4.412578135,0.3493749
account,25854,4.412527744,0.34938233
programme,25403,4.404885008,0.350509235
above,25179,4.401038478,0.351076397
speak,24903,4.396251669,0.351782202
receive,24431,4.387941244,0.353007556
decision,24139,4.382719275,0.353777524
decision,24139,4.382719275,0.353777524
reach,23987,4.379975935,0.354182024
decide,23825,4.377032909,0.354615966
note,23804,4.376649942,0.354672434
note,23804,4.376649942,0.354672434
future,23794,4.376467457,0.354699341
approach,23731,4.375316039,0.354869115
approach,23731,4.375316039,0.354869115
develop,23393,4.369085921,0.355787733
rise,23001,4.361746718,0.356869882
therefore,22983,4.361406717,0.356920015
activity,22889,4.359626819,0.357182457
upon,22802,4.357972941,0.357426317
involve,22678,4.355604751,0.357775502
involve,22678,4.355604751,0.357775502
rule,22493,4.352047383,0.358300028
rule,22493,4.352047383,0.358300028
among,22441,4.351042206,0.358448239
international,22412,4.350480614,0.358531045
standard,22229,4.346919926,0.359056061
special,22083,4.344058072,0.359478035
certain,21803,4.338516255,0.360295164
particularly,21685,4.336159426,0.360642673
difficult,21621,4.334875777,0.360831944
practice,21537,4.333185208,0.361081215
create,21452,4.331467788,0.361334445
Meeting,21381,4.330028014,0.361546737
attempt,21351,4.329418221,0.361636649
human,21294,4.32825725,0.361807832
role,20699,4.315949365,0.363622603
common,20277,4.307003701,0.364941622
Thus,20247,4.306360683,0.365036433
mark,19996,4.300943128,0.36583524
short,19680,4.294025094,0.366855289
situation,19569,4.291568633,0.367217489
situation,19569,4.291568633,0.367217489
benefit,19544,4.291013454,0.367299349
sign,19421,4.288271588,0.367703631
apply,19325,4.286119503,0.368020952
wish,19325,4.286119503,0.368020952
raise,19225,4.283866348,0.368353174
central,19133,4.281783072,0.368660349
step,18846,4.275219187,0.36962818
Relationship,18592,4.269326111,0.370497101
relation,18583,4.269115827,0.370528107
Sir,18477,4.266631459,0.370894421
United,18227,4.260715194,0.371766762
nature,17953,4.254137031,0.372736698
necessary,17875,4.25224605,0.373015519
measure,17588,4.245216457,0.374052017
measure,17588,4.245216457,0.374052017
establish,17397,4.240474363,0.374751229
establish,17397,4.240474363,0.374751229
establish,17397,4.240474363,0.374751229
personal,17335,4.238923846,0.374979849
President,17037,4.231393123,0.376090238
Former,16944,4.229015943,0.376440748
achieve,16710,4.22297645,0.377331258
achieve,16710,4.22297645,0.377331258
seek,16618,4.220578755,0.377684793
seek,16618,4.220578755,0.377684793
Chapter,16537,4.218456726,0.377997682
application,16528,4.218220304,0.378032541
financial,16521,4.218036331,0.378059668
final,16243,4.210666244,0.379146371
longer,16221,4.210077624,0.379233162
agreement,15934,4.202324813,0.380376297
basis,15891,4.201151228,0.38054934
opportunity,15869,4.20054956,0.380638054
strong,15768,4.197776611,0.38104692
serve,15743,4.197087495,0.381148528
recent,15689,4.195595263,0.381368555
Security,15598,4.193068916,0.381741059
According,15596,4.193013227,0.381749271
represent,15407,4.187718083,0.382530028
represent,15407,4.187718083,0.382530028
various,15293,4.184492689,0.383005605
aim,15097,4.178890655,0.383831613
influence,15061,4.177853809,0.383984494
purpose,15050,4.1775365,0.38403128
purpose,15050,4.1775365,0.38403128
clearly,15013,4.176467485,0.384188904
factor,14959,4.174902562,0.384419649
factor,14959,4.174902562,0.384419649
current,14908,4.173419384,0.38463834
concern,14897,4.173098818,0.384685607
concern,14897,4.173098818,0.384685607
heart,14766,4.169262864,0.38525121
population,14485,4.1609185,0.386481569
response,14455,4.160018096,0.386614331
introduce,14271,4.154454406,0.387434685
introduce,14271,4.154454406,0.387434685
series,14245,4.153662454,0.387551457
ensure,14053,4.147769046,0.388420427
ensure,14053,4.147769046,0.388420427
regard,13966,4.145072038,0.388818095
regard,13966,4.145072038,0.388818095
statement,13899,4.142983555,0.389126037
principle,13774,4.139060079,0.389704546
principle,13774,4.139060079,0.389704546
fight,13749,4.138271112,0.389820877
express,13733,4.13776542,0.38989544
refer,13649,4.135100834,0.390288328
refer,13649,4.135100834,0.390288328
refer,13649,4.135100834,0.390288328
choice,13601,4.133570841,0.390513922
attention,13583,4.132995701,0.390598725
affect,13433,4.128173015,0.39130982
affect,13433,4.128173015,0.39130982
affect,13433,4.128173015,0.39130982
relate,13367,4.126033948,0.39162522
relate,13367,4.126033948,0.39162522
identify,13157,4.119156875,0.39263923
effort,13091,4.116972823,0.392961264
Review,13077,4.116508124,0.393029782
legal,12981,4.11330815,0.393501612
provision,12954,4.112403893,0.393634942
provision,12954,4.112403893,0.393634942
limit,12856,4.109105864,0.39412123
exercise,12739,4.105135338,0.394706675
exercise,12739,4.105135338,0.394706675
task,12664,4.102570902,0.395084796
thank,12621,4.101093767,0.395302596
whom,12596,4.100232652,0.395429566
Finally,12582,4.099749681,0.395500779
post,12389,4.093036253,0.396490659
trust,12371,4.092404807,0.396583764
maintain,12238,4.087710449,0.397275937
maintain,12238,4.087710449,0.397275937
recently,12178,4.08557597,0.397590662
worth,12130,4.083860801,0.39784356
serious,12093,4.082534053,0.398039186
Nor,12016,4.07975992,0.398448226
significant,11988,4.078746734,0.398597618
responsibility,11979,4.078420565,0.398645711
responsibility,11979,4.078420565,0.398645711
Judge,11946,4.07722251,0.398822361
address,11892,4.075254901,0.399112481
address,11892,4.075254901,0.399112481
July,11856,4.073938191,0.399306627
forget,11843,4.073461729,0.39937688
determine,11822,4.072690955,0.399490529
duty,11666,4.066921972,0.400341153
aspect,11495,4.060508976,0.401286736
institution,11319,4.05380806,0.402274771
potential,11269,4.051885379,0.402558266
specific,11234,4.05053442,0.402757462
exist,11203,4.049334336,0.402934412
encourage,11190,4.048830087,0.403008763
Conference,11153,4.047391702,0.403220849
reflect,11129,4.046456142,0.403358796
procedure,11059,4.043715858,0.403762845
independent,11039,4.042929733,0.403878757
proposal,11026,4.042417988,0.403954213
respect,10970,4.040206628,0.404280273
assume,10956,4.039652024,0.404362048
prepare,10858,4.035749837,0.404937417
addition,10672,4.028245817,0.406043869
direction,10662,4.027838678,0.4061039
goal,10633,4.026655814,0.406278311
search,10548,4.023170121,0.406792269
reference,10528,4.022345876,0.406913802
prevent,10440,4.018700499,0.407451305
item,10413,4.017575868,0.407617129
September,10346,4.014772474,0.408030484
alternative,10240,4.010299957,0.408689947
challenge,10141,4.006080783,0.409312055
complex,9977,3.998999972,0.410356105
western,9827,3.992420956,0.411326167
sentence,9811,3.991713276,0.411430513
working,9728,3.988023562,0.411974553
traditional,9715,3.987442805,0.412060185
context,9673,3.985561188,0.412337625
importance,9579,3.981320173,0.412962953
planning,9577,3.981229487,0.412976325
article,9546,3.97982143,0.41318394
article,9546,3.97982143,0.41318394
arise,9525,3.978864984,0.413324966
arise,9525,3.978864984,0.413324966
Primary,9505,3.977952121,0.413459565
considerable,9467,3.976212377,0.413716087
focus,9447,3.975293915,0.413851512
interesting,9431,3.974557745,0.413960059
define,9426,3.974327435,0.413994017
debate,9415,3.973820324,0.41406879
possibility,9403,3.973266436,0.414150459
progress,9398,3.973035441,0.414184519
solution,9334,3.970067797,0.414622092
solution,9334,3.970067797,0.414622092
responsible,9314,3.969136234,0.414759449
welcome,9306,3.968763048,0.414814474
organization,9271,3.967126581,0.415055768
occasion,9220,3.964730921,0.415409003
option,9150,3.961421094,0.415897029
reform,9011,3.95477299,0.416877278
concept,8995,3.954001168,0.416991082
essential,8966,3.952598735,0.417197867
objective,8935,3.951094557,0.417419655
fully,8795,3.944235844,0.418430957
peace,8711,3.940068014,0.419045495
crime,8648,3.936915681,0.4195103
directly,8607,3.934851803,0.419814614
adopt,8592,3.934094268,0.419926311
protect,8573,3.933132824,0.420068074
protect,8573,3.933132824,0.420068074
expression,8519,3.930388618,0.420472701
trial,8480,3.928395852,0.42076653
trial,8480,3.928395852,0.42076653
stress,8417,3.925157327,0.421244043
States,8404,3.924486044,0.421343023
truth,8391,3.923813721,0.421442155
advance,8229,3.915347062,0.422690546
contribution,8129,3.910037124,0.423473485
justice,8092,3.908055874,0.423765616
protection,8044,3.905472062,0.424146593
representative,7944,3.900039235,0.424947652
relevant,7902,3.897737025,0.425287108
guide,7820,3.893206753,0.425955087
guide,7820,3.893206753,0.425955087
regional,7812,3.892762235,0.42602063
request,7753,3.889469784,0.426506095
request,7753,3.889469784,0.426506095
reaction,7455,3.872447648,0.429015972
conflict,7442,3.871689666,0.429127734
reality,7196,3.857091155,0.431280253
ignore,7115,3.852174904,0.432005144
connection,7078,3.849910558,0.432339017
desire,7049,3.848127511,0.432601923
Nevertheless,7045,3.847880997,0.432638271
currently,7027,3.846769954,0.432802092
legislation,6969,3.843170465,0.433332829
commitment,6954,3.842234686,0.433470807
threat,6913,3.839666557,0.433849473
entry,6860,3.836324116,0.434342308
investigation,6740,3.828659897,0.435472381
Song,6714,3.826981337,0.435719881
demonstrate,6693,3.825620825,0.435920485
demonstrate,6693,3.825620825,0.435920485
extremely,6688,3.825296264,0.435968341
commit,6649,3.822756333,0.436342849
threaten,6631,3.821579028,0.43651644
victim,6630,3.821513528,0.436526097
promote,6537,3.815378485,0.437430696
promote,6537,3.815378485,0.437430696
promote,6537,3.815378485,0.437430696
promote,6537,3.815378485,0.437430696
existence,6505,3.813247301,0.437744935
crisis,6430,3.808210973,0.43848753
reject,6420,3.807535028,0.438587197
assess,6357,3.803252211,0.439218689
consist,6352,3.802910489,0.439269075
proper,6349,3.802705327,0.439299326
contribute,6300,3.799340549,0.439795455
contribute,6300,3.799340549,0.439795455
arrest,6276,3.797682935,0.440039867
impose,6236,3.794906107,0.440449304
capacity,6215,3.793441133,0.440665311
capacity,6215,3.793441133,0.440665311
recall,6167,3.790073948,0.441161795
unable,6141,3.788239097,0.44143234
Criminal,5871,3.76871208,0.444311557
criminal,5871,3.76871208,0.444311557
Assembly,5850,3.767155866,0.444541017
recognize,5830,3.765668555,0.444760318
recognize,5830,3.765668555,0.444760318
component,5789,3.76260355,0.445212246
critical,5627,3.750276915,0.447029782
Treaty,5626,3.750199728,0.447041163
widely,5557,3.744840397,0.447831385
conclude,5552,3.744449457,0.447889028
initiative,5530,3.742725131,0.448143276
initiative,5530,3.742725131,0.448143276
instrument,5456,3.736874362,0.449005959
investigate,5442,3.735758537,0.449170485
investigate,5442,3.735758537,0.449170485
remark,5385,3.731185708,0.449844739
tool,5357,3.728921646,0.45017857
licence,5101,3.707655324,0.453314243
broad,5099,3.707485012,0.453339355
greatest,5050,3.703291378,0.453957698
creation,4923,3.692229836,0.455588698
mechanism,4921,3.692053365,0.455614718
mechanism,4921,3.692053365,0.455614718
attach,4840,3.684845362,0.456677523
negotiation,4803,3.681512587,0.457168933
establishment,4759,3.677515705,0.457758265
premise,4669,3.669223874,0.458980877
fundamental,4635,3.666049738,0.459448897
pursue,4564,3.659345636,0.460437402
strongly,4528,3.655906418,0.460944508
pleased,4468,3.650113164,0.46179871
independence,4416,3.645029065,0.46254835
implement,4392,3.642662331,0.462897319
implement,4392,3.642662331,0.462897319
resolution,4345,3.637989781,0.463586277
topic,4328,3.636287252,0.463837311
assistance,4306,3.634074025,0.464163647
incorporate,4259,3.62930764,0.46486644
expand,4151,3.618152733,0.466511207
Naturally,4132,3.616160313,0.466804985
obligation,4101,3.612889769,0.467287219
obligation,4101,3.612889769,0.467287219
nation,4089,3.611617111,0.46747487
regime,4084,3.611085733,0.467553221
framework,4069,3.60948769,0.467788849
Constitution,4055,3.607990859,0.468009553
valuable,4037,3.606058749,0.468294438
maintenance,3962,3.597914471,0.469495295
restore,3960,3.597695186,0.469527628
submit,3814,3.581380689,0.471933165
judgment,3796,3.579326204,0.472236094
perspective,3729,3.571592383,0.47337643
highlight,3711,3.569490954,0.473686281
promotion,3693,3.567379308,0.473997638
comprehensive,3624,3.559188189,0.475205401
intervention,3599,3.556181847,0.47564868
global,3524,3.5470359,0.47699723
Spanish,3497,3.543695632,0.477489745
scope,3437,3.536179532,0.478597978
precisely,3424,3.534533756,0.478840644
overcome,3400,3.531478917,0.479291073
organize,3366,3.527114112,0.479934655
Rome,3341,3.523876476,0.480412037
interaction,3333,3.522835314,0.480565554
demonstration,3281,3.51600623,0.481572488
advanced,3236,3.510008513,0.482456838
stake,3223,3.508260306,0.482714607
compensation,3210,3.506505032,0.482973419
mission,3135,3.496237545,0.484487337
mission,3135,3.496237545,0.484487337
resort,3129,3.495405563,0.484610011
resort,3129,3.495405563,0.484610011
indication,3102,3.491641793,0.485164971
consistent,3075,3.48784512,0.485724782
strategic,3031,3.481585936,0.486647685
deserve,3018,3.479719235,0.486922926
evaluation,3013,3.478999132,0.487029104
strengthen,2923,3.465828815,0.488971039
strengthen,2923,3.465828815,0.488971039
strengthen,2923,3.465828815,0.488971039
assure,2921,3.465531557,0.489014869
participate,2883,3.459844642,0.489853392
participate,2883,3.459844642,0.489853392
Furthermore,2882,3.459693976,0.489875608
unity,2838,3.453012391,0.490860793
satisfy,2836,3.452706227,0.490905936
Secondly,2821,3.450403086,0.491245529
Charter,2789,3.445448514,0.49197607
amendment,2787,3.445136969,0.492022007
participant,2761,3.441066407,0.492622202
reinforce,2760,3.440909082,0.4926454
structural,2723,3.435047641,0.493509656
participation,2672,3.426836454,0.494720378
universal,2654,3.423900919,0.495153217
me,2652,3.42357352,0.495201491
so-called,2644,3.422261451,0.495394953
fulfil,2596,3.414304688,0.49656816
guideline,2558,3.40790054,0.497512438
agenda,2481,3.394626764,0.499469627
judicial,2443,3.387923467,0.500458014
foster,2356,3.372175286,0.502780049
suspend,2345,3.370142847,0.503079728
subsidiary,2340,3.369215857,0.503216411
merit,2334,3.368100852,0.503380816
holding,2313,3.364175633,0.503959581
Declaration,2297,3.361160995,0.504404083
valid,2271,3.356217134,0.505133044
complexity,2226,3.34752516,0.506414657
integrate,2210,3.344392274,0.506876594
convince,2182,3.338854746,0.507693091
Statute,2178,3.338057875,0.507810588
coordinate,2174,3.33725954,0.5079283
wise,2145,3.331427297,0.508788252
anniversary,2143,3.331022171,0.508847987
stability,2124,3.327154512,0.509418265
Tribunal,2124,3.327154512,0.509418265
jurisdiction,2119,3.326130957,0.509569186
jurisdiction,2119,3.326130957,0.509569186
sanction,2114,3.325104983,0.509720464
accordance,2091,3.320354033,0.510420981
devote,2082,3.318480725,0.510697196
thoroughly,2046,3.310905629,0.511814127
institutional,1976,3.29578694,0.514043345
diplomatic,1969,3.294245716,0.514270596
refusal,1966,3.293583513,0.514368236
pursuit,1939,3.287577809,0.515253764
whereby,1930,3.285557309,0.515551682
trigger,1861,3.269746373,0.517882971
norm,1857,3.268811904,0.518020756
warrant,1846,3.266231697,0.518401202
delegation,1815,3.258876629,0.519485691
delegation,1815,3.258876629,0.519485691
assign,1808,3.257198426,0.519733138
combat,1798,3.254789687,0.520088302
pledge,1734,3.239049093,0.522409218
parameter,1713,3.233757363,0.523189472
systematic,1696,3.229425848,0.523828145
intervene,1685,3.226599905,0.524244824
relevance,1677,3.224533063,0.524549576
tribute,1664,3.221153322,0.525047911
accessible,1625,3.210853365,0.526566617
peaceful,1605,3.205475037,0.52735964
execution,1547,3.189490314,0.529716553
equality,1533,3.185542155,0.530298701
ambitious,1512,3.179551791,0.531181967
actively,1488,3.172602931,0.532206561
integrity,1468,3.166726056,0.533073094
shared,1460,3.164352856,0.533423017
Yugoslavia,1398,3.145507171,0.536201772
protocol,1389,3.142702246,0.536615353
compliance,1301,3.114277297,0.54080655
dedicate,1291,3.110926242,0.541300655
cooperation,1290,3.11058971,0.541350276
punish,1285,3.108903128,0.541598959
dignity,1276,3.105850674,0.542049037
repeatedly,1265,3.102090526,0.542603463
aggression,1261,3.100715087,0.542806268
referral,1235,3.091666958,0.544140395
referral,1235,3.091666958,0.544140395
attain,1232,3.090610708,0.544296137
accountability,1222,3.087071206,0.544818029
respective,1217,3.085290578,0.545080579
inclusion,1215,3.084576278,0.545185901
sovereignty,1208,3.082066934,0.545555898
territorial,1203,3.080265627,0.545821497
humanity,1198,3.078456818,0.546088202
openly,1194,3.077004327,0.546302369
safer,1187,3.074450719,0.546678893
Likewise,1177,3.070776463,0.547220654
presidency,1176,3.070407322,0.547275083
tenth,1126,3.051538391,0.550057266
formulation,1098,3.04060234,0.551669763
prosecute,1091,3.037824751,0.552079312
prosecute,1091,3.037824751,0.552079312
arbitrary,1071,3.029789471,0.553264097
hemisphere,1030,3.012837225,0.555763669
invoke,1002,3.000867722,0.557528546
outset,986,2.993876915,0.558559326
credibility,982,2.992111488,0.558819634
consistency,972,2.987666265,0.559475073
unwilling,966,2.984977126,0.55987158
viable,956,2.980457892,0.560537931
frankly,931,2.968949681,0.562234792
congratulate,902,2.955206538,0.564261189
Syria,889,2.948901761,0.565190815
violation,881,2.944975908,0.565769673
quest,880,2.944482672,0.5658424
Secretary-General,868,2.938519725,0.566721623
vest,847,2.92788341,0.568289925
invaluable,809,2.907948522,0.571229281
Thirdly,783,2.893761762,0.573321088
hybrid,780,2.892094603,0.573566907
reconciliation,758,2.879669206,0.575399005
reside,755,2.877946952,0.575652948
mandate,745,2.872156273,0.576506771
mandate,745,2.872156273,0.576506771
systematically,741,2.869818208,0.576851514
transitional,729,2.862727528,0.577897019
financing,720,2.857332496,0.578692505
legitimacy,720,2.857332496,0.578692505
Libya,713,2.85308953,0.579318121
contradictory,695,2.841984805,0.580955489
sweeping,681,2.833147112,0.582258587
briefing,678,2.831229694,0.582541306
sustainable,677,2.830588669,0.582635824
follow-up,654,2.815577748,0.584849152
inter,634,2.802089258,0.586838001
commend,617,2.790285164,0.588578489
enhancement,603,2.780317312,0.590048227
recurrence,581,2.764176132,0.592428209
Chile,580,2.763427994,0.592538521
Prosecutor,569,2.755112266,0.593764657
introductory,554,2.743509765,0.59547542
Libyan,549,2.739572344,0.596055984
ascribe,548,2.738780558,0.596172732
Colombia,542,2.733999287,0.59687772
judiciary,538,2.730782276,0.597352061
convene,533,2.726727209,0.597949972
redress,532,2.725911632,0.598070227
entrust,522,2.717670503,0.599285364
defer,518,2.71432976,0.599777949
functioning,509,2.706717782,0.600900318
ad-hoc,502,2.700703717,0.601787079
humanitarian,490,2.69019608,0.603336408
cohesion,466,2.668385917,0.606552269
Sudan,463,2.665580991,0.606965849
indispensable,450,2.653212514,0.608789555
prerogative,448,2.651278014,0.609074792
cooperate,446,2.649334859,0.609361306
credible,437,2.640481437,0.610666724
ratification,417,2.620136055,0.613666607
annex,412,2.614897216,0.614439062
backbone,399,2.600972896,0.616492173
non-existent,389,2.589949601,0.618117534
enshrine,387,2.587710965,0.618447616
primacy,384,2.584331224,0.618945952
signatory,369,2.567026366,0.621497516
abide,366,2.563481085,0.62202026
devolve,355,2.550228353,0.623974346
Guatemala,343,2.53529412,0.626176367
High-level,331,2.519827994,0.628456814
complimentary,319,2.503790683,0.63082148
CostaRica,312,2.494154594,0.632242301
inter-alia,311,2.492760389,0.632447873
impartial,310,2.491361694,0.632654108
multilateral,309,2.489958479,0.632861009
holistic,255,2.40654018,0.645160857
rigorously,236,2.372912003,0.650119259
cornerstone,209,2.320146286,0.657899449
paralysis,208,2.318063335,0.658206576
perpetrator,198,2.29666519,0.661361686
strengthening,192,2.283301229,0.663332173
reparation,177,2.247973266,0.668541205
appease,176,2.245512668,0.668904015
ICC,165,2.217483944,0.67303679
memoir,165,2.217483944,0.67303679
Sierra Leone,164,2.214843848,0.673426066
thereto,161,2.206825876,0.674608299
universality,159,2.201397124,0.675408756
rehabilitate,158,2.198657087,0.675812769
aegis,142,2.152288344,0.68264974
jurisdictional,140,2.146128036,0.683558064
